signal_date,trade_date,top_coins,bottom_coins,short_return,long_return,combined_return,cum_short_return,cum_long_return,cum_combined_return,short_equity,long_equity,combined_equity
2023-07-25,2023-07-26,"['DOGE', 'MKR', 'WLD']","['OP', 'FTM', 'LINK']",1.5643895550883267,4.809620981890091,3.1870052684892087,1.1364397310858012,0.9886719577519479,1.1037320718918853,113643.97310858012,98867.19577519479,110373.20718918853
2023-07-26,2023-07-27,"['COMP', 'SOL', 'SNX']","['WLD', 'DOGE', 'LDO']",-0.3743367078645939,-2.5649144236543227,-1.4696255657594584,1.1321856200095894,0.9633133681049427,1.0875113431858756,113218.56200095895,96331.33681049428,108751.13431858756
2023-07-27,2023-07-28,"['LINK', 'SNX', 'GMX']","['WLD', 'MKR', 'ARB']",1.7343583426266704,2.5350965765390163,2.1347274595828436,1.1518217757642453,0.9877342923211138,1.1107267464549428,115182.17757642452,98773.42923211138,111072.67464549429
2023-07-28,2023-07-29,"['WLD', 'COMP', 'GMX']","['LINK', 'SNX', 'SOL']",-0.9267804245570943,0.7805013551845338,-0.07313953468628026,1.1411469170206763,0.9954435718583023,1.1099143660809496,114114.69170206763,99544.35718583023,110991.43660809497
2023-07-29,2023-07-30,"['MKR', 'WLD', 'DOGE']","['COMP', 'GMX', 'INJ']",3.211633466129234,-1.3250306593655077,0.9433014033818631,1.1777963733054142,0.9822536393344967,1.120384203872528,117779.63733054142,98225.36393344967,112038.4203872528
2023-07-30,2023-07-31,"['OP', 'BCH', 'BNB']","['CRV', 'AAVE', 'WLD']",2.3978672132606405,-6.836921579221248,-2.219527182980304,1.2060383663798777,0.9150977283041505,1.0955169719137599,120603.83663798777,91509.77283041505,109551.69719137599
2023-07-31,2023-08-01,"['DYDX', 'SUI', 'WLD']","['CRV', 'FXS', 'COMP']",-0.8010542431333589,6.569483529585374,2.8842146432260076,1.1963773448721755,0.9752149228447016,1.1271140328367226,119637.73448721755,97521.49228447015,112711.40328367226
2023-08-01,2023-08-02,"['FXS', 'CRV', 'MKR']","['DYDX', 'GMX', 'SNX']",2.3377906298292213,-2.5303880482291405,-0.09629870919995964,1.2243461423379969,0.9505382009924922,1.1260286365718892,122434.61423379969,95053.82009924922,112602.86365718892
2023-08-02,2023-08-03,"['STX', 'OP', 'CFX']","['COMP', 'BCH', 'LTC']",-0.044132344457429674,-2.9036946610239736,-1.4739135027407015,1.223805809681109,0.92293747399928,1.109431948452729,122380.58096811091,92293.74739992799,110943.19484527291
2023-08-03,2023-08-04,"['OP', 'INJ', 'GMX']","['LTC', 'SUI', 'DYDX']",0.9636149160002697,0.03262961325799137,0.49812226462913056,1.2355985850060742,0.923238624927659,1.114958275998881,123559.85850060743,92323.8624927659,111495.8275998881
2023-08-04,2023-08-05,"['FXS', 'CRV', 'SNX']","['WLD', 'COMP', 'XRP']",-0.8562038670147931,-1.095942056132267,-0.9760729615735301,1.2250193421404723,0.9131204645586195,1.1040754697340296,122501.93421404723,91312.04645586196,110407.54697340296
2023-08-05,2023-08-06,"['DYDX', 'APE', 'DOGE']","['MKR', 'CFX', 'WLD']",1.157663904979959,-2.195780335674972,-0.5190582153475064,1.2392009488934554,0.8930703449568174,1.0983446753047386,123920.09488934555,89307.03449568174,109834.46753047386
