beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
120,1.75,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.0645548505327701,0.24210956579253207,-0.5271522680531626,0.4676086309020242,0.6151339794779448,-0.5271522680531626,-0.36260585433305526,-0.761828722245214,-0.48879900974531765
120,1.75,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.07099771291469992,0.30416720842090245,-0.4687179658519961,0.24385963345989148,0.46791939100612706,-0.4687179658519961,-0.13897220867628035,-0.12807408839030748,-0.3228067870808752
120,1.75,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.28560022343119673,0.41584721855761836,-0.44700504954467035,0.3908252109904755,0.5762587214299232,-0.44700504954467035,-0.07565651436843257,-0.013969814888964439,-0.22576878830369318
120,1.75,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.33286078936371055,0.44247112951716566,-0.4501705742861589,0.2244066910000535,0.4440604245022126,-0.4501705742861589,0.0885768586212774,0.44516978704963994,-0.19650236793871412
120,2.0,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.4257920273184985,0.49497901641630293,-0.5257200329609673,0.78329356999903,0.7917564498203814,-0.5257200329609673,-0.2004726247516988,-0.2776865495336132,-0.40276659293942263
120,2.0,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.5930929648567111,0.5720172520150076,-0.4384018724479032,0.5722540469275874,0.6959370634231874,-0.4384018724479032,0.013254167142928486,0.2600336180100238,-0.2350325160381822
120,2.0,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.7569962831221688,0.6629089562821795,-0.41831241012156883,0.7677926241199897,0.8494375630983022,-0.41831241012156883,-0.006107244057088401,0.1799584628655722,-0.22367459968853598
120,2.0,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.7504957064528293,0.6726340179741314,-0.42526099259185113,0.6200074971422525,0.7593506230546573,-0.42526099259185113,0.08054790458733163,0.4301923029274596,-0.2010606104467616
120,2.25,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.28395952644870315,0.41895486444772667,-0.4489045278658673,0.8147575608793742,0.8197365720445392,-0.4489045278658673,-0.2924897770771455,-0.8773662080168222,-0.37968465795954187
120,2.25,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6423227142544707,0.6099075871062725,-0.4384018724479032,0.9676891421214664,0.9423770152973132,-0.4384018724479032,-0.1653545882334848,-0.46912431850003383,-0.236799298150713
120,2.25,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.807935904839651,0.724024129546644,-0.3597563303504203,1.2124073134368758,1.143752320715298,-0.3597563303504203,-0.18281959481000665,-0.6979425493578406,-0.2314305241170208
120,2.25,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6856992576080754,0.6664033820810833,-0.3597563303504201,0.9075044654854343,0.9752988968488073,-0.3597563303504201,-0.11628030858680738,-0.41271133856708603,-0.18221500792309975
