date,asset_close,btc_close,a_ret,b_ret,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_net,source,beta_window,z_entry,z_exit,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime,ret_baseline,ret_guard_ou,ret_guard_ou_corr,ret_guard_ou_corr_vol,ret_size_ou_soft,ret_size_ou_corr_soft,ret_size_adaptive,guard_ou_active,guard_ou_corr_active,guard_ou_corr_vol_active,horizon,fold,vol_thr_train_q75
2025-07-03,403.989990234375,109647.9765625,0.004250749379206109,0.007244728772290987,0.1784208304876742,0.4166278361905363,1.4511167144333947,0,-0.006262197633801869,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.030890956884660717,0.5500085124279682,-0.00044999999999995044,3.0,0.025554106835526898,27.12468821631008,0.04445741108822872,medium,mid,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,7,0.04404377424199102
2025-07-07,395.6700134277344,108299.8515625,-0.020594512259607733,-0.01229502852915454,0.17871756640874903,0.42178259559914727,1.450315520095895,0,-0.0027628415637531017,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.02739808636828429,0.6315363700955977,-0.00044999999999995044,3.0,0.024888095161172016,27.85055168228889,0.04444108177696891,medium,low,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,7,0.04404377424199102
2025-07-08,396.94000244140625,108950.2734375,0.003209717619664376,0.006005750382996888,0.17170652254547036,0.13012651289068647,1.45048080919593,0,-0.0055015080556937174,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.02647505492460713,0.6498781528418406,-0.00044999999999995044,3.0,0.022788080846303578,30.417093270598066,0.044259185862567225,medium,low,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,7,0.04404377424199102
2025-07-09,415.4100036621094,111326.5546875,0.04653096464730733,0.021810695604753683,0.1803766582289983,0.3983406829459452,1.4502846968910592,0,0.014899246583183978,0.0,0.0,yahoo_daily,120,2.25,0.75,0.026458234757558326,0.6054308892024348,-0.00044999999999995044,3.0,0.022741001272558035,30.480064279156352,0.04426998134667002,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,7,0.04404377424199102
2025-07-10,421.739990234375,115987.203125,0.015237925221979864,0.041864660687494615,0.1255299743910765,-1.820311508223041,1.4512970877816522,0,-0.045520134914748094,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.02763733237969468,0.5890360969781347,-0.00044999999999995044,4.0,0.02438159902541122,28.42911081580527,0.0442909384072328,medium,low,mid,calm,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,True,False,False,3m,7,0.04404377424199102
2025-07-11,434.5799865722656,117516.9921875,0.03044529007257535,0.013189291760499877,0.13316616900420541,-1.7064982619844649,1.4320140106947472,0,0.011558039480398737,0.0,0.0,yahoo_daily,120,2.25,0.75,0.027678070382261027,0.586113478409139,-0.00044999999999995044,4.0,0.024320322578767553,28.50073958990518,0.04429769225036357,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,3m,7,0.04404377424199102
2025-07-14,451.0199890136719,119849.703125,0.03782963539365025,0.019849988449143874,0.13676395545987408,-1.4717342944859906,1.436589334584168,0,0.009313353695991233,0.0,0.0,yahoo_daily,120,2.25,0.75,0.026230001682174615,0.6282549073651184,-0.00044999999999995044,4.0,0.022990513196060144,30.149269598676426,0.044230615562796734,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,7,0.04404377424199102
2025-07-15,442.30999755859375,117777.1875,-0.019311763707249074,-0.01729262210051885,0.1470238796639345,-0.9701087875859876,1.4317419503700703,0,0.005446808785960367,0.0,0.0,yahoo_daily,120,2.25,0.75,0.025980820772072814,0.6394597711999014,-0.00044999999999995044,4.0,0.022832850893916384,30.35745224196372,0.04423213464038851,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,7,0.04404377424199102
2025-07-16,455.8999938964844,118738.5078125,0.030725048976742553,0.00816219450392297,0.1634175639016373,-0.2862000550725863,1.4382581093023161,0,0.018985706541772545,0.0,0.0,yahoo_daily,120,2.25,0.75,0.025920743874567175,0.641931068415776,-0.00044999999999995044,4.0,0.02378763671876691,29.138967807302052,0.04416143866233958,medium,low,mid,calm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,3m,7,0.04404377424199102
2025-07-17,451.3399963378906,119289.84375,-0.010002188242251076,0.004643278306736054,0.14546156653044484,-0.9879855137385195,1.4406112363065584,0,-0.016691347144233523,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.024611427459601192,0.6709409392812173,-0.00044999999999995044,4.0,0.023479441469079404,29.52145098820882,0.044159041370313734,medium,low,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,7,0.04404377424199102
2025-07-18,423.2200012207031,118003.2265625,-0.062303353005160655,-0.01078563897020779,0.09963385391963797,-2.5408646397478445,1.4402245328346177,1,-0.04676961115797029,0.0,-0.0,yahoo_daily,120,2.25,0.75,0.025920284806149996,0.6638927849825143,-0.00044999999999995044,4.0,0.024860559006224414,27.881399625261842,0.04420715512827559,medium,low,mid,calm,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,True,True,True,3m,7,0.04404377424199102
2025-07-21,426.2799987792969,117439.5390625,0.007230276333272778,-0.004776882093994628,0.11500736865229566,-1.840780867522963,1.4528461516231383,1,0.014170351100290352,0.00045,0.013720351100290351,yahoo_daily,120,2.25,0.75,0.02569339762768381,0.649509465503959,0.0,4.0,0.02564386344964609,27.029748536955,0.0441770944972923,medium,low,mid,calm,0.013720351100290351,0.013720351100290351,0.013720351100290351,0.013720351100290351,0.013720351100290351,0.013720351100290351,0.006426607357598438,True,True,True,3m,7,0.04404377424199102
2025-07-22,426.3999938964844,119995.4140625,0.0002814936603432461,0.02176332622218302,0.07855719972732977,-2.731504486280806,1.4588750634435594,1,-0.03146848026278689,0.0,-0.03146848026278689,yahoo_daily,120,2.25,0.75,0.025825999965388088,0.6396788287071182,-0.031468480262786924,4.0,0.023797360000688546,29.127062016118174,0.0440243084749453,medium,low,mid,calm,-0.03146848026278689,-0.03146848026278689,-0.03146848026278689,-0.03146848026278689,-0.03146848026278689,-0.03146848026278689,-0.015108102695474966,True,True,True,3m,7,0.04404377424199102
