beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,split_method,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
90,1.75,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.17700397350672437,0.35045681635556913,-0.45709452880877655,0.1072495591117335,0.34536824197205646,-0.45709452880877655,0.06299791571012192,-0.001460395461166933,-0.19522088839849283
90,2.0,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.27636149278841304,0.42774245205719547,-0.5514876061985399,0.42520746106205065,0.5826990881644525,-0.5514876061985399,-0.1044381062689067,-0.36514921714853454,-0.40792092871448205
90,2.0,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.41437949967849774,0.48697463837743316,-0.5514876061985399,0.2180968023912846,0.4441913086551593,-0.5514876061985399,0.16113883305652155,0.32290472561255545,-0.2359276132934064
90,2.0,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.5472855468716338,0.5541784059519612,-0.4250754477151244,0.3496896707706916,0.5364044300647017,-0.4250754477151244,0.14640096933401914,0.26709174479567765,-0.22160050866893288
90,2.0,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.5353453365730589,0.5529626967789836,-0.43231658816994045,0.475362547571758,0.6281409632689712,-0.43231658816994045,0.04065630451309943,0.31014178583365615,-0.20243738730092975
90,2.25,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.23767517567630025,0.3971246216786543,-0.5175772401137712,0.781543328170148,0.7760663730611472,-0.5175772401137712,-0.30527921712264117,-0.9817876790906218,-0.3787909802682994
90,2.25,0.5,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.5579347835271853,0.558446184542278,-0.5175772401137712,0.8687059105957435,0.8457585939183377,-0.5175772401137712,-0.16630285445476256,-0.4927293356120992,-0.2343882693139584
90,2.25,0.75,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.6882187091591054,0.6432481251728052,-0.3572010981544531,1.0705850801741366,1.0046137218095914,-0.3572010981544531,-0.18466585830072435,-0.7430401120655177,-0.234168436250895
90,2.25,1.0,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,0.570918820565874,0.585208659539625,-0.357201098154453,0.7918624973138504,0.8524463560403702,-0.357201098154453,-0.12330392375485699,-0.47242918372389203,-0.18735456002559103
120,1.5,0.25,1057,0.7,2025-01-02,time_cutoff_date,0.7481629777577157,1.7060760611127368,-0.2435261773987999,0.12474144992942268,-0.5294330354806447,0.17565370635904998,0.43247934214377,-0.5039357684746527,-0.3565504718698439,-1.1032820629638853,-0.5294330354806449
