date,vol_regime,rolling_beta,ou_kappa,ou_half_life,ou_b,hedged_ret
2024-08-09,high,1.0655068498669436,0.1092717661032432,6.3433328230921,0.8964867496788389,0.009772213815669884
2024-08-12,high,1.059930442420784,0.11538039971437214,6.007495053543351,0.8910271329642091,-0.0023228679279004606
2024-08-13,high,1.045690723855087,0.1296355974610692,5.346889235174034,0.8784154694328941,0.0077078184859797685
2024-08-14,mid,1.0507081377140222,0.12284921929472757,5.642259548243573,0.8843970025118019,-0.004549471962192769
2024-08-15,high,1.0528269372160644,0.13354979454645502,5.190177812807009,0.8749838984664592,0.03306595668783799
2024-08-16,high,1.0432955025359876,0.13519537783883728,5.127003538436256,0.8735452236363254,-0.01576576800976531
2024-08-19,mid,1.03729127606909,0.14380550406758205,4.820032341976268,0.8660561760828849,0.006807093896085612
2024-08-20,mid,1.0417370669017443,0.16725223484774276,4.144322383440486,0.8459861972234324,-0.0038481124610829816
2024-08-21,mid,1.0300249887902027,0.1535202601126084,4.515020884224115,0.8576833872607909,0.020077219968970744
2024-08-22,mid,1.0170364429775112,0.15806043599562555,4.385330055518312,0.8537981802661097,-0.04062312572184677
2024-08-23,high,1.0230843025905978,0.1546781704363081,4.481221743215296,0.856690841562568,0.05816520779478966
2024-08-26,mid,1.0681517114590988,0.18301797356023972,3.7873175354102493,0.8327531880629897,-0.0005053586068627831
2024-08-27,mid,1.044052750429208,0.1621453051420451,4.274851991260084,0.8503176400377025,0.009160255256534924
2024-08-28,mid,1.0698297400739474,0.16133757361699,4.296253904285517,0.8510047458630321,-0.04800020369482742
2024-08-29,mid,1.0713050409252267,0.15877882160472562,4.365488882928677,0.8531850442007624,-0.0029855950752467253
2024-08-30,mid,1.077987219531965,0.16985604640370855,4.080791913126806,0.843786273922697,0.003821255937589277
2024-09-03,mid,1.119064572682645,0.15628071727994777,4.435270023225587,0.8553190538290786,-0.044311955179704765
2024-09-04,mid,1.138665064665924,0.15170217125692567,4.56913157416856,0.8592441502418467,0.009966826709978335
2024-09-05,mid,1.1455091637833408,0.15214750029358337,4.555757927159174,0.8588615890612892,-0.006504640121968691
2024-09-06,mid,1.1489524615168385,0.1464926041145376,4.731618942468911,0.8637321203749722,0.0011739237558270818
2024-09-09,mid,1.1522949565044034,0.135270281538069,5.124164544337653,0.8734797943181084,0.02644944617924172
2024-09-10,mid,1.171827106264463,0.12948145705622402,5.353254406605602,0.8785508791847636,0.025685206969384127
2024-09-11,mid,1.1483250586032667,0.12516050549934735,5.538066323673962,0.8823552683454148,0.0033092152044714683
2024-09-12,mid,1.1450191670875751,0.1198698565919498,5.782497787742373,0.8870358710768088,-0.004126173140864671
2024-09-13,mid,1.1386692668509772,0.12039641280802235,5.757207913371975,0.8865689197738585,0.03394103482633307
2024-09-16,low,1.163210559561816,0.12235950667090606,5.664841248700113,0.8848302089530757,-0.003374041210843469
2024-09-17,mid,1.0937779745566603,0.12266060312022713,5.650935695143692,0.8845638298238254,-0.0640050904276464
2024-09-18,mid,1.0550236440672163,0.13718268137308906,5.052730954243609,0.8718109479629271,-0.01279660945968595
2024-09-19,mid,1.046665881584779,0.11355039029888583,6.104313501128904,0.8926592139132615,0.0684603071927437
2024-09-20,mid,1.0695677477405143,0.11521395496380674,6.01617382874922,0.8911754520962304,-0.003461649347599287
2024-09-23,mid,1.0740951986576326,0.11324517189608689,6.120765847712899,0.892931711516302,0.03352189962479002
2024-09-24,mid,1.044234683739865,0.11286881636114562,6.141175241371246,0.8932678345551713,0.010041987282608706
2024-09-25,low,1.0418540208960296,0.10911094481909918,6.3526824161329625,0.8966309354228978,0.006168632258172952
2024-09-26,mid,1.0343668309629317,0.1086138832081402,6.381754892527372,0.897076727023862,0.05902180805107543
2024-09-27,low,1.0770072658477143,0.11274286546165502,6.148035866586091,0.8933803495279519,0.051620859080051915
2024-09-30,low,1.0972325905278448,0.10720532328807922,6.465604125807626,0.898341203683274,-0.002194982282806325
2024-10-01,low,1.122306784629049,0.09550116630767227,7.257997020966852,0.9089173015758307,0.009117812696720816
2024-10-02,low,1.216522880612456,0.08731863706294939,7.938135590231951,0.9163850548657039,0.016069690435158462
2024-10-03,low,1.2166573220514096,0.07863024772627547,8.815274027533297,0.9243816534818134,-0.010011519740222102
2024-10-04,low,1.1830992043475954,0.07907837290953665,8.765319202418157,0.9239675075854771,0.05469574307647685
2024-10-07,low,1.452497491132387,0.07512130005798168,9.227039202262821,0.9276309578148647,0.05031533820523929
2024-10-08,low,1.4590966566742711,0.05990315153671446,11.571130446035339,0.9418557464489448,0.03528799871503176
2024-10-09,low,1.4559636713318227,0.055038720759919474,12.593809794080675,0.9464485000388247,0.01920111641219569
2024-10-10,low,1.4533785180554752,0.053583214553725785,12.935901407425899,0.9478270647158216,-0.022105546049171004
2024-10-11,low,1.4588640480067232,0.05078569231394704,13.648473595182033,0.9504823443790701,0.1070034181461541
2024-10-14,high,1.59986728238489,0.024273517766905173,28.555695437971956,0.9760187147863136,-0.1436263817146469
2024-10-15,high,1.358645959562291,0.06867872724133996,10.092603756679951,0.9336265806878102,-0.05696325903271875
2024-10-16,high,1.3355879674231048,0.08405872067203858,8.245987745451314,0.9193772680589959,-0.012519776933218476
2024-10-17,high,1.3299629847599348,0.0791506980659974,8.757309758430502,0.9239006839074719,0.0007354730017799602
2024-10-18,high,1.3272236563425783,0.07907571119526864,8.765614245925601,0.9239699669262482,0.09595195703482676
2024-10-21,high,1.3390038317084576,0.08381660644008836,8.26980726134985,0.9195998893289259,0.03534569434857675
2024-10-22,high,1.2560772507925482,0.07178963062694285,9.65525486768287,0.9307266716042613,0.003087504347107069
2024-10-23,high,1.2519551955903323,0.05878263846068096,11.79169902391475,0.9429116996227641,-0.008902068378279851
2024-10-24,high,1.2919899154194037,0.062456447904172055,11.098088409117539,0.9394539771121547,0.06892404837954169
2024-10-25,high,1.3210996603314606,0.04761032218824921,14.558758451985906,0.953505274541469,0.02286346709296419
2024-10-28,high,1.3104737167766705,0.03821198018951624,18.13952527773255,0.9625088864480535,0.025402817154469903
2024-10-29,high,1.3313537329967517,0.035193629814100846,19.69524553793612,0.9654184643606364,-0.0422095542354101
2024-10-30,high,1.1973833470262176,0.04945161011922525,14.016675673224869,0.9517512121498622,-0.036052337191157496
2024-10-31,high,1.217964938297222,0.05613081631312918,12.34878140188059,0.945415452036829,0.024404992757797783
2024-11-01,high,1.179071363731191,0.05134438367781201,13.49996106505963,0.9499514664140354,-0.04818676967635173
2024-11-04,high,1.2021031686967592,0.04885587850010081,14.187590149638083,0.9523183693604481,-0.0003452996007818031
2024-11-05,high,1.1874818703866858,0.04522692519971606,15.3259850741367,0.9557805665263124,-0.005538311996771638
2024-11-06,high,1.171397206199011,0.04830227830749178,14.350196405796387,0.9528457189501002,0.025685090566140878
2024-11-07,high,1.212410965751699,0.047189674028046524,14.688535041542837,0.9539064491517139,0.046164551681844634
2024-11-08,high,1.2114406863679523,0.04347334163945369,15.944189114988303,0.9574580780134041,-0.01166430846260936
2024-11-11,high,1.185625980480906,0.04584675624248926,15.118783472789278,0.9551883276240892,0.06901690701904342
2024-11-12,high,1.3477281512819965,0.046858992630912984,14.792191245329386,0.9542219404297274,0.06012382683109436
2024-11-13,high,1.3737477804528613,0.04276925686713563,16.20666879280213,0.9581324470448902,-0.12016164524825634
2024-11-14,high,1.3287233459272048,0.05387190396015579,12.866580343486728,0.9475534765760094,0.04673839436722428
2024-11-15,high,1.285232142752336,0.050327171227718945,13.772822188308831,0.9509182605067863,-0.016591958553203175
2024-11-18,high,1.2654693522929874,0.053833515691009234,12.875755403723486,0.9475898522120934,0.1368486592832756
2024-11-19,high,1.2319847469515584,0.048547496025089336,14.277712288224443,0.9526120929434654,0.09438836795330628
2024-11-20,high,1.2481950983380423,0.036954565517546674,18.75674009022855,0.9637199204701853,0.07357252025637119
2024-11-21,high,1.2567418064659543,0.024169871678612394,28.67814896896214,0.9761198805508291,-0.21704290403616638
2024-11-22,high,1.0955764723616197,0.07144490437737645,9.701842092176351,0.9310475728274945,0.05643859336181231
2024-11-25,high,1.0918307129253664,0.06709525169694368,10.330793357639637,0.9351061266492006,0.021333749490868165
2024-11-26,high,1.068013312250409,0.06317693764633883,10.971522305182734,0.9387773539377058,-0.11052296510580294
2024-11-27,high,1.115182732278273,0.0759648587690426,9.124576702858539,0.9268487765940242,0.051163135108606254
2024-11-29,high,1.140167407835105,0.07576052573430082,9.149186516879206,0.9270381817675003,-0.021333385036113546
2024-12-02,high,1.134336621857057,0.07642339529189589,9.069829702180847,0.9264238800015417,7.340139700772602e-05
2024-12-03,high,1.1315379514583805,0.07609912845236536,9.108477254030896,0.926724337256705,-0.019680081480554716
2024-12-04,high,1.1436199337074857,0.081196747868729,8.53663722690665,0.922012269649022,0.054264328720392434
2024-12-05,high,1.1646763298014866,0.07833235420416633,8.848798017142682,0.9246570618074836,-0.022628785968163822
2024-12-06,high,1.1866253114641732,0.08043295753945877,8.617701024109444,0.9227167627122942,-0.01859035279271061
2024-12-09,high,1.166959453013042,0.0828331620223277,8.36799131696925,0.9205047095539337,-0.04605515565185317
2024-12-10,high,1.1538637078455198,0.0850769139283536,8.147300466771396,0.918441640730199,0.041759728622860336
2024-12-11,high,1.2471907797263904,0.08259186343624272,8.39243905781378,0.9207268528391861,0.0322984987435943
2024-12-12,high,1.2686548455661402,0.0809615606617531,8.561435512042861,0.9222291406411601,-0.032524216858256454
2024-12-13,high,1.2836839759256262,0.08003041004857221,8.661047471070797,0.9230882748005357,0.023848016584357715
2024-12-16,high,1.2829627316891357,0.07955472888933007,8.712834425269603,0.9235274749525128,-0.05820996419606979
2024-12-17,high,1.2386922584140734,0.08182482754184832,8.471110803202652,0.9214333543055998,-0.05534676324722053
2024-12-18,high,1.2648848304799207,0.08398229788953859,8.253491485451345,0.9194475321128412,-0.0224984561313034
2024-12-19,high,1.2925344048859029,0.08961189728748072,7.73499057090918,0.9142859532820485,-0.03334331375323603
2024-12-20,high,1.308938120151075,0.09198857573344976,7.53514417451619,0.9121155697369621,0.1120461737581677
2024-12-23,high,1.2778524623805614,0.0941533932723348,7.36189272069086,0.9101431416978166,-0.04765489398516587
2024-12-24,high,1.320968834523273,0.08769303123466919,7.904244736449611,0.9160420298593994,0.02244601734218009
2024-12-26,high,1.316813708545886,0.08785944250293976,7.889273603537295,0.9158896028265611,-0.009384363116807223
2024-12-27,high,1.3437269185612482,0.08973187684487785,7.724648195626281,0.9141762642383924,-0.009526636679179381
2024-12-30,high,1.3403121544417314,0.08970385665377326,7.7270610920917315,0.9142018799908971,-0.060280768090767475
2024-12-31,high,1.380516491351866,0.08661950013923228,8.002207117863527,0.9170259575071479,-0.05574461362106499
2025-01-02,high,1.3667449626871035,0.08369243526129433,8.282076849549012,0.9197140842209132,-0.014706494675490407
2025-01-03,high,1.3641172896816718,0.08233002427273922,8.419130040138436,0.920967966753304,0.11497745536828377
2025-01-06,high,1.3718372603674585,0.08932011254612701,7.760258700995117,0.914552766896628,0.060564922403468974
2025-01-07,high,1.396749560768599,0.09147882620382634,7.577132428607316,0.912580638743881,-0.028801308324198346
2025-01-08,high,1.4293440133250686,0.09268705850797974,7.478359888832483,0.9114786951719699,-0.0007849862951200201
2025-01-10,high,1.430060931924777,0.08947366386910127,7.746940838077336,0.914412346890456,-0.0062790929075456385
2025-01-13,high,1.2958370866501967,0.0897269259458572,7.725074421675858,0.9141807902439676,0.004024748034239106
2025-01-14,high,1.3136702226220316,0.08998801965017014,7.7026606792167,0.9139421345521361,0.013889393301328701
2025-01-15,high,1.4164855457601198,0.0906830776281137,7.643622147480522,0.9133071124942759,-0.0043395398050465675
2025-01-16,high,1.4687312549697855,0.09286104296280043,7.4643484333642025,0.9113201258428089,0.028616679860793033
