beta_window,z_entry,z_exit,z_window,vol_window,quantile_lookback,min_history,mode,oos_ratio,split_date,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd,full_return,full_sharpe,full_mdd,oos_active_ratio
60,2.0,0.5,30,40,252,126,high_low_only,0.8,2025-05-16,0.7522552283868624,0.81655235963135,-0.3606994747318898,0.004269564475412935,0.16623581271740775,-0.17954544456639554,0.7597365950618404,0.7113841037289002,-0.3606994747318898,0.37735849056603776
120,1.75,0.75,30,40,252,84,low_only,0.8,2025-05-16,0.01642196146803565,0.1314945919484152,-0.25437294656047194,0.005267267005949039,0.16415468432746383,-0.16243183708097952,0.021775727329799377,0.1385722504669705,-0.3198823645992437,0.3632075471698113
120,1.75,0.75,30,40,252,126,low_only,0.8,2025-05-16,0.01642196146803565,0.1314945919484152,-0.25437294656047194,0.005267267005949039,0.16415468432746383,-0.16243183708097952,0.021775727329799377,0.1385722504669705,-0.3198823645992437,0.3632075471698113
120,2.25,1.0,30,40,252,84,high_low_only,0.8,2025-05-16,0.29612626305199075,0.49200290635165234,-0.4260511138895754,0.0066955862003788,0.16123457075800893,-0.09659022942034301,0.30480458817282985,0.44122513608317965,-0.4260511138895754,0.22169811320754718
120,2.25,1.0,30,40,252,126,high_low_only,0.8,2025-05-16,0.45191082126826054,0.6518126581352738,-0.4260511138895755,0.0066955862003788,0.16123457075800893,-0.09659022942034301,0.4616322153273251,0.5754709111442491,-0.4260511138895755,0.22169811320754718
90,1.75,1.0,30,20,126,84,low_only,0.8,2025-05-16,0.26573936745807925,0.6032485924149608,-0.20496452786257746,0.004848392448291605,0.1590347276990271,-0.14939491906620495,0.2718761686487683,0.49547116957985626,-0.2062742031308895,0.29245283018867924
90,1.75,1.0,30,20,126,126,low_only,0.8,2025-05-16,0.26573936745807925,0.6032485924149608,-0.20496452786257746,0.004848392448291605,0.1590347276990271,-0.14939491906620495,0.2718761686487683,0.49547116957985626,-0.2062742031308895,0.29245283018867924
90,1.75,1.0,30,30,126,84,low_only,0.8,2025-05-16,-0.16952758480942842,-0.22741387483625528,-0.2814680958636778,0.004396210671689937,0.15596849107920732,-0.14939491906620495,-0.16587665311522315,-0.14534563303208256,-0.38117100101935275,0.2971698113207547
90,1.75,1.0,30,30,126,126,low_only,0.8,2025-05-16,-0.16952758480942842,-0.22741387483625528,-0.2814680958636778,0.004396210671689937,0.15596849107920732,-0.14939491906620495,-0.16587665311522315,-0.14534563303208256,-0.38117100101935275,0.2971698113207547
120,2.0,0.5,30,40,252,84,low_only,0.8,2025-05-16,0.1742732898082695,0.4726285961284856,-0.241983522783362,0.0021324508891247262,0.15338407145887042,-0.16243183708097897,0.17677736992919613,0.37618634541322227,-0.33272567823782906,0.4009433962264151
