date,asset_ret,btc_ret,beta_true,hedged_true,rolling_vol,vol_regime,beta_l1,beta_diff_5,beta_mean_20,beta_std_20,time_idx,reg_high,reg_mid,reg_low,intercept,beta_pred,slope_coef_time,hedged_model
2022-07-13,0.015738597742151805,0.04596171114078618,1.3853542560455594,-0.04793465440187293,0.05094331303917293,mid,1.381079466139634,-0.10512846624325123,1.4682288338983074,0.03253357685197027,0.12322274881516587,0.0,1.0,0.0,1.0,,,
2022-07-14,0.04622855098468159,0.017704551212910147,1.3301911913915825,0.022678112913727358,0.04990103158247692,mid,1.3853542560455594,-0.1509181810532696,1.460842482116775,0.04470934283014881,0.12417061611374408,0.0,1.0,0.0,1.0,,,
2022-07-15,0.045896725166523655,0.012951348577769028,1.3457133947448234,0.028467921905410556,0.04872068434973468,low,1.3301911913915825,-0.13161255762643465,1.4536668130323611,0.05098958379122987,0.12511848341232226,0.0,0.0,1.0,1.0,,,
2022-07-18,0.0544442924167341,0.0791579647925611,1.3301401238840123,-0.0508468926788494,0.04938148658161057,mid,1.3457133947448234,-0.1518576258030706,1.4452785696016939,0.05679760433299792,0.12606635071090047,0.0,1.0,0.0,1.0,,,
2022-07-19,0.1841066958817399,0.0401919693193753,1.2579489591617363,0.1335472499097713,0.052310031865675496,mid,1.3301401238840123,-0.12313050697789762,1.4357817159960014,0.07055239517155973,0.12701421800947868,0.0,1.0,0.0,1.0,,,
2022-07-20,0.08084746907385099,-0.006742410894342465,1.313101294101583,0.08970093754457668,0.053483767184177716,mid,1.2579489591617363,-0.07225296194397646,1.4288629879389267,0.07554084735926712,0.12796208530805686,0.0,1.0,0.0,1.0,,,
2022-07-21,0.0032551809411773824,-0.0028884421706671937,1.3097596836187495,0.007038346044781501,0.05351713331782245,mid,1.313101294101583,-0.02043150777283298,1.4213517644391482,0.07964086274384091,0.12890995260663507,0.0,1.0,0.0,1.0,,,
2022-07-22,-0.02688899996234151,-0.01941107679491816,1.3096697584261352,-0.0014668997055498866,0.050711621394997505,mid,1.3097596836187495,-0.03604363631868823,1.4140142082606793,0.08293209213140591,0.12985781990521328,0.0,1.0,0.0,1.0,,,
2022-07-25,-0.05696648074211774,-0.05957643071593122,1.3330977710084773,0.02245472624993114,0.05069116798850859,mid,1.3096697584261352,0.0029576471244650016,1.407571949497479,0.08401038724351233,0.13080568720379146,0.0,1.0,0.0,1.0,,,
2022-07-26,-0.10614610910140176,-0.005708686992848544,1.3316793742504394,-0.0985439683789736,0.052291838460464764,mid,1.3330977710084773,0.07373041508870304,1.399454791897301,0.08305526819922641,0.13175355450236967,0.0,1.0,0.0,1.0,,,
2022-07-27,0.1041912068049422,0.0796052030234431,1.3335309237204402,-0.0019647931158630477,0.05208067165978489,mid,1.3316793742504394,0.020429629618857303,1.3914505748897468,0.08119624895801118,0.13270142180094788,0.0,1.0,0.0,1.0,,,
2022-07-28,0.050762223477150314,0.0398306162434614,1.3265503573419144,-0.0020750947337620715,0.052146868482877286,mid,1.3335309237204402,0.016790673723164895,1.3834765224565329,0.07922605247714017,0.13364928909952606,0.0,1.0,0.0,1.0,,,
2022-07-29,0.03750182713785155,-0.0016462880701044735,1.2723333175128773,0.039596454299669445,0.05226234716237877,mid,1.3265503573419144,-0.03733644091325794,1.3729817286547692,0.07935811186264875,0.13459715639810427,0.0,1.0,0.0,1.0,,,
2022-08-01,-0.03607639875840318,-0.020602443129997372,1.2556355784004654,-0.010207238162406238,0.05224473574739832,mid,1.2723333175128773,-0.0774621926080119,1.3617008375071713,0.07919286325459807,0.13554502369668248,0.0,1.0,0.0,1.0,,,
2022-08-02,0.009139073553144916,-0.014415336683737068,1.262711828230143,0.027341489691619595,0.051768294699226634,mid,1.2556355784004654,-0.06896754602029631,1.3504706537385287,0.07631517793732358,0.13649289099526066,0.0,1.0,0.0,1.0,,,
2022-08-03,0.12729101522684672,-0.0057275961266136655,1.2518095379517298,0.1344608746876771,0.053398871770101615,mid,1.262711828230143,-0.08172138576871046,1.3385369945216747,0.07179595109203571,0.13744075829383887,0.0,1.0,0.0,1.0,,,
2022-08-04,-0.01393140379472868,-0.009434736504108754,1.2818258198548762,-0.0018377149402347484,0.053519348774842206,mid,1.2518095379517298,-0.044724537487038196,1.328572816892176,0.0644172626993094,0.13838862559241707,0.0,1.0,0.0,1.0,,,
2022-08-05,0.031812782239008186,0.029091011085651708,1.2824297630937376,-0.0054943962157214254,0.05369264148554478,mid,1.2818258198548762,0.010096445580860314,1.3188280074283,0.05474560823962712,0.13933649289099526,0.0,1.0,0.0,1.0,,,
2022-08-08,0.034027839699289686,0.02233521626611057,1.2725295620153536,0.005605616726657801,0.05216525114816226,mid,1.2824297630937376,0.016893983614888253,1.3083545980447133,0.03991430688332085,0.14028436018957346,0.0,1.0,0.0,1.0,,,
2022-08-09,-0.03221113733025982,-0.02709709734425869,1.270206258845526,0.002207765312964051,0.0520432361024176,mid,1.2725295620153536,0.007494430615383019,1.302810937680008,0.03686506827892857,0.14123222748815165,0.0,1.0,0.0,1.0,,,
2022-08-10,0.051412177338395315,0.033815983988709775,1.2619656603498008,0.008737566773704894,0.048645921086265795,low,1.270206258845526,0.010156122398071066,1.2966415078952203,0.03237553650926135,0.14218009478672985,0.0,0.0,1.0,1.0,,,
2022-08-11,0.0035437604143047086,0.00041284726535173455,1.3147445644060964,0.0030009717162535945,0.04847254214063676,low,1.2619656603498008,0.032918744551220236,1.2958691765459458,0.031710484235921814,0.14312796208530806,0.0,0.0,1.0,1.0,,,
2022-08-12,0.04703400761897991,0.018586602023192844,1.3230519126620985,0.02244296826230539,0.04782066623687098,low,1.3147445644060964,0.040622149568360966,1.2947361024418096,0.03020484390871779,0.14407582938388624,0.0,0.0,1.0,1.0,,,
2022-08-15,-0.010656372476360532,-0.01089405736706095,1.311228607120721,0.0036282271909440274,0.04650903955130429,low,1.3230519126620985,0.03869904510536748,1.2937905266036451,0.029321264978132852,0.14502369668246445,0.0,0.0,1.0,1.0,,,
2022-08-16,-0.018448521531653106,-0.010510085263709001,1.432244455965466,-0.0033955101809815466,0.046517108426827984,low,1.311228607120721,0.16203819711993983,1.3025053014438315,0.041486155970631336,0.14597156398104266,0.0,0.0,1.0,1.0,,,
2022-08-17,-0.05089888758778294,-0.02291530796119967,1.4381934566880954,-0.01794224161999295,0.046409736145788645,low,1.432244455965466,0.17622779633829455,1.3087599095731572,0.051410381689289845,0.14691943127962084,0.0,0.0,1.0,1.0,,,
2022-08-18,-0.002521547701955784,-0.005281958173694035,1.4498525517464682,0.005136512834392627,0.04641325322491062,low,1.4381934566880954,0.13510798734037177,1.3157645529795432,0.0603247148031829,0.14786729857819905,0.0,0.0,1.0,1.0,,,
2022-08-19,-0.1275664505616383,-0.10059931398792521,1.4457340348491596,0.017873401553182316,0.04639804928567735,low,1.4498525517464682,0.1226821221870611,1.3225677668006943,0.06691376950441263,0.14881516587677726,0.0,0.0,1.0,1.0,,,
2022-08-22,-0.05268548628966763,0.024972058525402963,1.4240663763259513,-0.0882473551833378,0.047707950977246866,low,1.4457340348491596,0.11283776920523025,1.3271161970665681,0.07065442990014578,0.14976303317535544,0.0,0.0,1.0,1.0,,,
2022-08-23,-0.008541910978492107,0.006036741981122917,1.3708982713668982,-0.0168176701251015,0.0478103994640875,low,1.4240663763259513,-0.061346184598567666,1.3290771419223908,0.07132876520777583,0.15071090047393365,0.0,0.0,1.0,1.0,,,
2022-08-24,0.032392778912961884,-0.006181150878381003,1.3602282770674805,0.04080055512255622,0.04783923753005776,low,1.3708982713668982,-0.07796517962061489,1.330412009589743,0.07166551757993163,0.15165876777251186,0.0,0.0,1.0,1.0,,,
2022-08-25,-0.005830685743999031,0.009623023027591993,1.3404895466688058,-0.018730247519839302,0.047793076321138064,low,1.3602282770674805,-0.10936300507766239,1.3311089690560876,0.07169376069730726,0.15260663507109004,0.0,0.0,1.0,1.0,,,
