date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net,source,a_ret,b_ret,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime
2026-01-14 08:00:00,176.02,94773.0,0.0121402830703223,2.080806136673387,1.5823557463285003,-1,-0.0020804118613986,0.0,0.0020804118613986,0.0020804118613986,1.1255028159598444,1.1169442408731347,hyperliquid_4h,-0.008896396396396278,-0.0043074918840548815,0.01064266030751089,0.5757007937754524,-0.021751214530764673,2.0,0.023258052841886166,29.802459615692097,0.00822174722605141,medium,high,mid,calm
2026-01-14 12:00:00,184.67,96737.0,0.0426954510034542,2.715671833446591,1.6168237142970925,-1,0.0156363789034032,0.0,-0.0156363789034032,-0.0156363789034032,1.107904027472649,1.0994792775088684,hyperliquid_4h,0.049142142938302324,0.020723201755774356,0.005420095893558601,0.9149509626314118,-0.03704748320215556,1.0,0.023434937179608418,29.577513916405017,0.008282031978568024,medium,low,high,calm
2026-01-14 16:00:00,178.47,97241.0,0.0041328317697226,1.3146992700373707,1.7195441184924425,-1,-0.0425322301478445,0.0,0.0425322301478445,0.0425322301478445,1.1550256565508397,1.1462425831826617,hyperliquid_4h,-0.03357340120214436,0.005210002377580514,0.009760364320642406,0.7535265706422917,0.0,1.0,0.025258682973779863,27.441936750204935,0.008694882397014774,medium,mid,high,calm
2026-01-14 20:00:00,177.98,96917.0,0.004217592407965,1.226959370228052,1.657989204808843,-1,0.0027787409958651,0.0,-0.0027787409958651,-0.0027787409958651,1.1518161394077058,1.1430574719255655,hyperliquid_4h,-0.0027455594777834325,-0.0033319278904988536,0.009756510322909013,0.7558164437438294,-0.002778740995865059,1.0,0.025646494594839836,27.026975479893025,0.008695551235287367,medium,mid,high,calm
2026-01-15 00:00:00,175.78,95970.0,0.0001178719458918,1.023594287475159,1.6626474072608235,-1,0.0038851999938434,0.0,-0.0038851999938434,-0.0038851999938434,1.1473411033499703,1.1386164650426776,hyperliquid_4h,-0.012360939431396711,-0.009771247562347152,0.009766817761536905,0.7648716161836695,-0.006653145025208529,1.0,0.02608541127566774,26.572215911600647,0.008697827454160346,medium,mid,high,calm
2026-01-15 04:00:00,178.66,96629.0,0.01055812808326,1.264298306934239,1.7121799205972472,-1,0.004627040676475,0.0,-0.004627040676475,-0.004627040676475,1.1420323093949782,1.1333480403440208,hyperliquid_4h,0.01638411650927285,0.0068667291862041235,0.009790042138533815,0.7687517742545366,-0.011249401329025521,1.0,0.026531325531986078,26.125614407176503,0.008701616022581236,medium,mid,high,calm
2026-01-15 08:00:00,179.85,96579.0,0.0176362505519707,1.3792736315560734,1.715665471054673,-1,0.0075484553892444,0.0,-0.0075484553892444,-0.0075484553892444,1.1334117294544344,1.1247930132209965,hyperliquid_4h,0.006660696294637836,-0.0005174430036531952,0.00986335517892712,0.7644478326056645,-0.01871294111418198,1.0,0.027029964789340277,25.6436582867211,0.00871364313604887,medium,mid,high,calm
2026-01-15 12:00:00,172.45,96791.0,-0.0262415446492259,-0.0089240240659203,1.7227988293935752,0,-0.0449271046128239,0.0,0.0449271046128239,0.0449271046128239,1.1843326367930354,1.1753267065937496,hyperliquid_4h,-0.04114539894356406,0.0021950941716109007,0.012967161928313854,0.6686432879823239,0.0,2.0,0.026666272285770343,25.993403694817236,0.00916069732563423,medium,high,mid,calm
2026-01-15 16:00:00,174.97,95486.0,-0.0002074065889123,0.7542939352294447,1.6877058965656,0,0.0373676935559028,0.00045,0.0,-0.00045,1.1843326367930354,1.1747978095757825,hyperliquid_4h,0.014612931284430308,-0.013482658511638435,0.0146829308602858,0.5668042789429628,-0.00044999999999995044,3.0,0.03143089120251424,22.053055259995258,0.009442890191585564,medium,high,mid,calm
2026-01-15 20:00:00,172.06,95588.0,-0.0178852993921676,0.1600738746189714,1.5392170829960516,0,-0.0182756441166742,0.0,-0.0,-0.0,1.1843326367930354,1.1747978095757825,hyperliquid_4h,-0.0166314225295765,0.0010682194248372578,0.015070766487760526,0.5595998700121897,-0.00044999999999995044,3.0,0.031170996217940835,22.23692742168427,0.009512923108513267,medium,high,mid,calm
