date,vol_regime,zscore,beta_roll,beta_kalman_used,beta_kalman_post,beta_uncertainty,innovation_z,beta_velocity,beta_stable,pos_baseline,ret_baseline,pos_kalman,ret_kalman,pos_kalman_stable,ret_kalman_stable
2024-06-25,mid,2.7952065970514526,1.615873504522759,1.4724752806487842,1.489460028168343,0.13680289682193322,1.3747504640829125,0.00987049509090987,0,-1,-0.04912960426299076,-1,-0.05276283206351615,-1,-0.05276283206351615
2024-06-26,mid,2.683180143435077,1.608269013211108,1.489460028168343,1.4897635099022815,0.1370922409312195,0.03846503213347318,0.016984747519558807,0,-1,-0.00043687952724329876,-1,0.0014726936379847455,-1,0.0014726936379847455
2024-06-27,mid,2.7412927056561216,1.6089783849670096,1.4897635099022815,1.4943234736681106,0.1377095643875064,0.7051197071136415,0.0003034817339384599,1,-1,-0.025425999146781113,-1,-0.026981628326016218,-1,-0.026981628326016218
2024-06-28,mid,1.1504128473220145,1.6111409924880347,1.4943234736681106,1.512213179656121,0.13839795354038262,1.7168375601689816,0.0045599637658291226,0,-1,0.06337361528131497,-1,0.06580964731770211,-1,0.06580964731770211
2024-07-01,mid,-0.6212995203673399,1.6245563470090478,1.512213179656121,1.4733367142140514,0.13884273363030222,1.8577263982979562,0.017889705988010318,0,0,0.07609406655781739,0,0.07137863715745105,0,0.07137863715745105
2024-07-02,mid,-0.8358217951244773,1.5946380836093443,1.4733367142140514,1.4757623055015634,0.13809873268870398,0.37169544861951004,0.03887646544206946,0,0,-0.0,0,-0.0,0,-0.0
2024-07-03,mid,0.0031967000049312588,1.6044801740664736,1.4757623055015634,1.4639064689208114,0.13878243852946395,0.7913407980295868,0.0024255912875119634,1,0,0.0,0,0.0,0,0.0
2024-07-05,mid,1.7604474879860854,1.5943680276550152,1.4639064689208114,1.4125075127303894,0.13880920999929505,1.7860491083614771,0.011855836580751955,0,-1,-0.00045,-1,-0.00045,0,0.0
2024-07-08,mid,1.715227167200829,1.539855296725685,1.4125075127303894,1.4125638595499008,0.13664447682698547,0.1529851390902479,0.05139895619042201,0,-1,-0.005751568905472373,-1,-0.005847587393928424,0,0.0
2024-07-09,mid,1.0401656477958623,1.533836284802462,1.4125638595499008,1.4055250541355733,0.13748988351103034,0.6209633439832564,5.634681951138809e-05,1,-1,0.02660529915516818,-1,0.023816222302472292,0,-0.0
2024-07-10,mid,1.2052868621841597,1.567132150828702,1.4055250541355733,1.404957111676222,0.13786540440799772,0.2484298642989347,0.007038805414327554,1,-1,-0.010240145862592774,-1,-0.009497065163045063,0,0.0
2024-07-11,mid,1.9974408806608708,1.5834557988596412,1.404957111676222,1.4004148989966787,0.13868501731798472,1.3114102160698435,0.0005679424593512117,0,-1,-0.05137084337751184,-1,-0.050141802802081595,0,0.0
2024-07-12,mid,1.9778486215204933,1.5775170197671398,1.4004148989966787,1.402289324790348,0.13947554665876746,0.3810849628125136,0.004542212679543356,1,-1,-0.012862658286871739,-1,-0.014575314431534371,-1,-0.00045
2024-07-15,mid,1.0499886826363858,1.5026768245741666,1.402289324790348,1.3816259291180546,0.14021813583502374,0.36476421618023636,0.0018744257936693653,1,-1,0.027327605153259105,-1,0.015241657696097866,-1,0.015241657696097866
2024-07-16,mid,1.38711336991456,1.3987031627114275,1.3816259291180546,1.382747468393023,0.12916635870176502,0.7343421326662557,0.020663395672293472,0,-1,-0.028011037235038044,-1,-0.02807079453755231,-1,-0.02807079453755231
2024-07-17,mid,0.9930037994540054,1.3580025003159206,1.382747468393023,1.3868882846462802,0.1300519370914291,0.6234628302730973,0.0011215392749683861,1,0,0.023783714523319423,0,0.023411818435343762,0,0.023411818435343762
2024-07-18,mid,0.6431227390926342,1.359578994857462,1.3868882846462802,1.387384469723694,0.13077188391977762,0.4913499051702794,0.00414081625325724,1,0,-0.0,0,-0.0,0,-0.0
2024-07-19,mid,1.5530306961808784,1.348068515334171,1.387384469723694,1.429235438921685,0.13165164838649307,2.1812932215555385,0.0004961850774136689,0,0,0.0,0,0.0,0,0.0
2024-07-22,mid,1.2970207213116227,1.3996347373758073,1.429235438921685,1.4282170861178503,0.13113326308176645,0.17273293570514855,0.04185096919799114,0,0,-0.0,0,-0.0,0,-0.0
2024-07-23,mid,1.1849188593768751,1.4049097685657397,1.4282170861178503,1.4306756841248833,0.13188277388856443,0.22108772288061038,0.0010183528038347767,1,0,-0.0,0,-0.0,0,-0.0
2024-07-24,mid,0.8921875091483884,1.3923775311263094,1.4306756841248833,1.4323347429753477,0.1322924488078514,0.4301850739720091,0.002458598007033075,1,0,-0.0,0,-0.0,0,-0.0
2024-07-25,mid,0.005718037963992343,1.3894453894213077,1.4323347429753477,1.4286942801844627,0.1331101393500381,1.2676472815358075,0.0016590588504643566,0,0,-0.0,0,-0.0,0,-0.0
2024-07-26,mid,0.5150565845524763,1.4119142013030566,1.4286942801844627,1.4462682846091242,0.1339475736566657,1.1609912754110898,0.003640462790885035,0,0,0.0,0,0.0,0,0.0
2024-07-29,mid,0.2536887164808649,1.394689310877522,1.4462682846091242,1.4493120495169092,0.13395787518366373,0.40378895747485805,0.017574004424661505,0,0,-0.0,0,-0.0,0,-0.0
2024-07-30,mid,-0.4186657088134469,1.4449777940774862,1.4493120495169092,1.453273351450922,0.1346097374516963,0.9026685898916916,0.003043764907785018,1,0,-0.0,0,-0.0,0,-0.0
2024-07-31,mid,0.4501314200264582,1.5014512822847053,1.453273351450922,1.441012502024467,0.13539724419975155,1.0737404303233844,0.003961301934012784,1,0,0.0,0,0.0,0,0.0
2024-08-01,high,-1.331952207448,1.5241995710056078,1.441012502024467,1.4294949005473534,0.13577155426753912,2.0921177965431785,0.01226084942645489,0,0,-0.0,0,-0.0,0,-0.0
