coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl
PYTH,LONG,2025-09-17 08:00:00+00:00,2025-09-18 01:00:00+00:00,17.0,0.16067,0.16682,-1.47442e-05,1.6013e-06,3.8277214165681137,0.038445070377170605,0.09,3.7761664869452845
TRX,LONG,2025-09-18 00:00:00+00:00,2025-09-18 12:00:00+00:00,12.0,0.34272,0.3462,-1.46825e-05,1.9023e-06,1.015406162464981,0.011061541991421567,0.09,0.9364677044564026
kPEPE,SHORT,2025-09-15 02:00:00+00:00,2025-09-19 23:00:00+00:00,117.0,0.011561,0.010752,1.45986e-05,2.3584e-06,6.997664561889117,0.27617633840844225,0.09,7.183840900297559
BLAST,LONG,2025-09-17 02:00:00+00:00,2025-09-20 18:00:00+00:00,88.0,0.002435,0.002438,-1.45809e-05,-1.554e-06,0.1232032854209431,0.6514322461026694,0.09,0.6846355315236125
RESOLV,LONG,2025-09-20 21:00:00+00:00,2025-09-21 04:00:00+00:00,7.0,0.15677,0.15732,-1.41518e-05,-7.67e-08,0.3508324296740416,0.011106385328187793,0.09,0.2719388150022294
SUPER,LONG,2025-09-21 07:00:00+00:00,2025-09-21 14:00:00+00:00,7.0,0.59078,0.58247,-1.43954e-05,9.242e-07,-1.4066149835810164,0.008573570879853753,0.09,-1.4880414127011627
ZORA,SHORT,2025-09-19 07:00:00+00:00,2025-09-21 18:00:00+00:00,59.0,0.068481,0.06378,1.48755e-05,1.4367e-06,6.864677793840624,0.05781240597742438,0.09,6.832490199818048
BNB,SHORT,2025-09-12 19:00:00+00:00,2025-09-21 21:00:00+00:00,218.0,924.91,1049.0,1.46738e-05,1.114e-06,-13.416440518536943,0.3544092547774378,0.09,-13.152031263759504
PENGU,SHORT,2025-09-09 08:00:00+00:00,2025-09-22 02:00:00+00:00,306.0,0.035134,0.031787,1.44719e-05,1.1075e-06,9.526384698582559,0.753639790593727,0.09,10.190024489176286
POL,SHORT,2025-09-04 11:00:00+00:00,2025-09-22 02:00:00+00:00,423.0,0.28155,0.23544,1.45249e-05,4.434e-07,16.37719765583378,0.8012663501022906,0.09,17.08846400593607
BABY,LONG,2025-09-22 03:00:00+00:00,2025-09-22 04:00:00+00:00,1.0,0.060438,0.059191,-1.48348e-05,1.7525e-06,-2.06327145173566,-0.00017163411678083326,0.09,-2.1534430858524405
ETH,SHORT,2025-09-19 21:00:00+00:00,2025-09-22 07:00:00+00:00,58.0,4473.9,4191.2,1.49477e-05,-1.2072e-06,6.318871677954354,0.07080081994143812,0.09,6.299672497895792
IO,LONG,2025-06-29 01:00:00+00:00,2025-09-22 09:00:00+00:00,2048.0,0.6996,0.54187,-1.44943e-05,-2.0634e-06,-22.54574042309892,-0.281100875994569,0.09,-22.916841299093488
S,SHORT,2025-09-14 11:00:00+00:00,2025-09-22 09:00:00+00:00,190.0,0.3104,0.24567,1.48458e-05,-9.083e-07,20.853737113402065,0.25484657573936864,0.09,21.018583689141433
POL,LONG,2025-09-22 08:00:00+00:00,2025-09-22 11:00:00+00:00,3.0,0.22884,0.22794,-1.44826e-05,1.626e-07,-0.39328788673308174,0.002254234552962769,0.09,-0.48103365218011895
HYPER,SHORT,2025-05-11 14:00:00+00:00,2025-09-22 12:00:00+00:00,3214.0,0.1764,0.26757,1.41273e-05,-2.4174e-06,-51.683673469387735,1.023964135035714,0.09,-50.749709334352026
