coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
ENA,LONG,2025-03-29 03:00:00,2025-03-29 22:00:00,19.0,0.3931,0.3653,-1.43213e-05,-1.087e-07,-7.071991859577713,0.03876279,0.09,-7.123229069577713,2025
OP,LONG,2025-03-29 13:00:00,2025-03-29 23:00:00,10.0,0.7884,0.7661,-1.43761e-05,-2.1496e-06,-2.8285134449517995,0.011811559999999999,0.09,-2.9067018849517994,2025
FIL,LONG,2025-03-29 23:00:00,2025-03-30 00:00:00,1.0,2.743,2.723,-1.45271e-05,-1.2514e-06,-0.7291286912139999,0.0,0.09,-0.8191286912139999,2025
ACE,LONG,2025-03-23 07:00:00,2025-03-30 01:00:00,162.0,0.7271,0.6178,-1.49672e-05,8.167e-07,-15.032320176041805,0.19848468000000014,0.09,-14.923835496041805,2025
RSR,LONG,2025-03-29 16:00:00,2025-03-30 01:00:00,9.0,0.006371,0.006479,-1.41994e-05,2.775e-07,1.6951812902213224,0.01652208,0.09,1.6217033702213224,2025
RUNE,LONG,2025-03-29 20:00:00,2025-03-30 02:00:00,6.0,1.111,1.145,-1.48351e-05,2.4308e-06,3.060306030603063,0.01062596,0.09,2.980931990603063,2025
NEO,LONG,2025-03-28 10:00:00,2025-03-30 03:00:00,41.0,6.73,6.446,-1.4224e-05,1.8571e-06,-4.2199108469539475,0.061255010000000006,0.09,-4.248655836953947,2025
SAGA,LONG,2025-03-30 01:00:00,2025-03-30 03:00:00,2.0,0.3122,0.3146,-1.43789e-05,-2.301e-06,0.7687379884689345,0.0012690800000000001,0.09,0.6800070684689346,2025
AIXBT,LONG,2025-03-30 03:00:00,2025-03-30 05:00:00,2.0,0.10582,0.10647,-1.45829e-05,1.209e-07,0.6142506142506122,0.00085014,0.09,0.5251007542506123,2025
APE,LONG,2025-03-30 03:00:00,2025-03-30 07:00:00,4.0,0.474,0.4767,-1.44793e-05,1.5458e-06,0.5696202531645645,0.0029454100000000003,0.09,0.4825656631645646,2025
AAVE,LONG,2025-03-30 07:00:00,2025-03-30 09:00:00,2.0,164.93,166.22,-1.47537e-05,-2.9602e-06,0.7821500030315842,0.00148942,0.09,0.6936394230315842,2025
