hour_idx,hour,n_alpha,n_alpha_long,n_alpha_short,n_hedge,n_hedge_long,n_hedge_short,n_total,funding_paid,funding_received,net_funding,alpha_price_pnl,hedge_price_pnl,fees,positions_opened,positions_closed,hourly_pnl,cumulative_pnl
12407,2024-12-20 22:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12408,2024-12-20 23:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12409,2024-12-21 00:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2807.791311774821
12410,2024-12-21 01:00:00,1,1,0,3,0,3,4,0.01621003,0.01731144,0.0011014100000000006,-2.4314214463840353,9.519022294040484,0.18,4,0,6.908702257656449,-2800.882609517165
12411,2024-12-21 02:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.18,0,4,-0.18,-2801.0626095171647
12412,2024-12-21 03:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12413,2024-12-21 04:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12414,2024-12-21 05:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12415,2024-12-21 06:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12416,2024-12-21 07:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12417,2024-12-21 08:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12418,2024-12-21 09:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12419,2024-12-21 10:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12420,2024-12-21 11:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12421,2024-12-21 12:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12422,2024-12-21 13:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12423,2024-12-21 14:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2801.0626095171647
12424,2024-12-21 15:00:00,1,1,0,3,0,3,4,0.014425660000000002,0.01449818,7.25199999999978e-05,4.323751178133831,3.0717619205067748,0.18,4,0,7.215585618640606,-2793.847023898524
12425,2024-12-21 16:00:00,1,1,0,4,0,4,5,0.012740820000000002,0.013825739999999998,0.0010849199999999962,2.766798418972341,-4.30320170733893,0.135,2,1,-1.6703183683665892,-2795.517342266891
12426,2024-12-21 17:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.22499999999999998,0,5,-0.22499999999999998,-2795.742342266891
12427,2024-12-21 18:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12428,2024-12-21 19:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12429,2024-12-21 20:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12430,2024-12-21 21:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12431,2024-12-21 22:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12432,2024-12-21 23:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
12433,2024-12-22 00:00:00,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,-2795.742342266891
