fr_threshold,min_consecutive,exit_strategy,exit_param,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,avg_hold,max_dd
0.002,8,fixed_or_normalized,"(48, 0.0003)",FR>0.2%_Cons>=8_Max48h_OR_Norm<0.03%,60,0.04098820312044278,0.0919331489226068,0.4458479188496891,0.7833333333333333,2.4592921872265667,38.11666666666667,0.43719161975450904
0.003,1,fixed,4,FR>0.3%_Cons>=1_Fixed4h,146,0.0145416202768696,0.07520533242327036,0.19335889900767286,0.589041095890411,2.1230765604229616,4.0,1.0935304088607596
0.003,1,fixed,8,FR>0.3%_Cons>=1_Fixed8h,146,0.024012207537028294,0.08999026950044521,0.2668311548606874,0.6506849315068494,3.505782300406131,8.0,0.6332083470166043
0.003,1,fixed,12,FR>0.3%_Cons>=1_Fixed12h,146,0.024695786566320807,0.10200854764372544,0.2420952668846261,0.6232876712328768,3.6055848386828377,12.0,1.079286894316558
0.003,1,fixed,24,FR>0.3%_Cons>=1_Fixed24h,145,0.029333420722592055,0.09527892384994793,0.3078689340445157,0.6896551724137931,4.253346004775848,24.0,1.0581099261239504
0.003,1,fixed,36,FR>0.3%_Cons>=1_Fixed36h,145,0.030803041649927747,0.09697900797764035,0.3176258686522113,0.7034482758620689,4.466441039239523,36.0,0.9196353470251015
0.003,1,fixed,48,FR>0.3%_Cons>=1_Fixed48h,145,0.009167789743352866,0.10360536435977222,0.08848759714330512,0.5379310344827586,1.3293295127861655,48.0,1.4210583356723947
0.003,1,normalized,0.0001,FR>0.3%_Cons>=1_Norm<0.01%,87,0.06699676869971066,0.08606301320903624,0.7784618060836882,0.7586206896551724,5.828718876874827,37.60919540229885,0.24822063989810483
0.003,1,normalized,0.0003,FR>0.3%_Cons>=1_Norm<0.03%,122,0.048581435303573235,0.09129486243906702,0.5321376691486661,0.7868852459016393,5.926935107035935,29.934426229508198,0.6640705674198513
0.003,1,normalized,0.0005,FR>0.3%_Cons>=1_Norm<0.05%,141,0.0440773980460176,0.08883811795398341,0.49615411786243513,0.7872340425531915,6.214913124488482,24.80851063829787,0.7121839216882444
0.003,1,fixed_or_normalized,"(24, 0.0003)",FR>0.3%_Cons>=1_Max24h_OR_Norm<0.03%,146,0.03285904160222077,0.08955795064381261,0.36690256270944427,0.7465753424657534,4.797420073924233,20.335616438356166,0.7465788154514348
0.003,1,fixed_or_normalized,"(48, 0.0003)",FR>0.3%_Cons>=1_Max48h_OR_Norm<0.03%,146,0.026436338627452118,0.09763828664060818,0.2707579120551377,0.678082191780822,3.859705439608009,31.397260273972602,0.7980153312295681
0.003,2,fixed,4,FR>0.3%_Cons>=2_Fixed4h,86,0.015864721882516506,0.08551991595483256,0.1855090911325904,0.5697674418604651,1.3643660818964196,4.0,0.8392740367887555
0.003,2,fixed,8,FR>0.3%_Cons>=2_Fixed8h,86,0.03104699724025241,0.09945522310853763,0.312170605724449,0.6162790697674418,2.6700417626617075,8.0,0.4359477292454183
0.003,2,fixed,12,FR>0.3%_Cons>=2_Fixed12h,86,0.025491402027243617,0.11152503653534529,0.22857111568095925,0.627906976744186,2.192260574342951,12.0,0.9552474313296062
0.003,2,fixed,24,FR>0.3%_Cons>=2_Fixed24h,86,0.03737573566546896,0.09851544973250508,0.37938958576501197,0.7093023255813954,3.2143132672303305,24.0,0.7483872519439824
0.003,2,fixed,36,FR>0.3%_Cons>=2_Fixed36h,86,0.034318125380526886,0.09637304976384423,0.3560967040538945,0.7441860465116279,2.951358782725312,36.0,0.6227028069367981
0.003,2,fixed,48,FR>0.3%_Cons>=2_Fixed48h,86,0.012465362256247132,0.09248510307069113,0.1347823794575783,0.5465116279069767,1.0720211540372533,48.0,0.8955556197026827
0.003,2,normalized,0.0001,FR>0.3%_Cons>=2_Norm<0.01%,46,0.08818734248736486,0.08172474634130684,1.0790775919825837,0.8478260869565217,4.056617754418784,41.23913043478261,0.12096146123464946
0.003,2,normalized,0.0003,FR>0.3%_Cons>=2_Norm<0.03%,68,0.06348105116930455,0.10034035063779287,0.6326572586780917,0.8088235294117647,4.316711479512709,33.19117647058823,0.4773450372006732
0.003,2,normalized,0.0005,FR>0.3%_Cons>=2_Norm<0.05%,82,0.05915164042922606,0.09343982840831892,0.6330452595732701,0.8414634146341463,4.850434515196537,28.28048780487805,0.5577185808057941
0.003,2,fixed_or_normalized,"(24, 0.0003)",FR>0.3%_Cons>=2_Max24h_OR_Norm<0.03%,86,0.03910473486789055,0.09812971709051052,0.39850043419387493,0.7325581395348837,3.3630071986385874,21.77906976744186,0.6876344516102917
0.003,2,fixed_or_normalized,"(48, 0.0003)",FR>0.3%_Cons>=2_Max48h_OR_Norm<0.03%,86,0.03459891950457028,0.10510993923783937,0.32916886600306144,0.686046511627907,2.975507077393044,34.56976744186046,0.6903500397464528
0.003,3,fixed,4,FR>0.3%_Cons>=3_Fixed4h,58,0.023658473361877198,0.09341718383897389,0.25325611830322403,0.5689655172413793,1.3721914549888774,4.0,0.48724338609997486
0.003,3,fixed,8,FR>0.3%_Cons>=3_Fixed8h,58,0.0409965955487237,0.10928103777791959,0.3751483000375307,0.6206896551724138,2.3778025418259747,8.0,0.2952665713338636
0.003,3,fixed,12,FR>0.3%_Cons>=3_Fixed12h,58,0.030702849819891898,0.1266221294709816,0.24247617654328085,0.6551724137931034,1.78076528955373,12.0,1.0663766571692908
