target_coin,hedge_coins,n_hedges,hour,position_type,weights,target_funding,hedge_funding_total,funding_pnl,price_pnl,hedge_pnl,gross_pnl,trading_fee,net_pnl,valid,correlation,net_funding,reached_threshold
ANIME,"GMT,COMP",2,2025-12-02 08:00:00,long,"0.9299,0.1359",-0.0054301737,-5.727456336504572e-05,0.005372899136634954,-0.013083827780313473,-0.004425137119310587,-0.012136065762989106,0.001859166999749391,-0.013995232762738497,True,0.7039042481598831,0.005487448263365046,True
SUPER,"GAS,PURR,RESOLV,COMP",4,2025-12-02 08:00:00,long,"0.9201,0.1667,0.0636,0.0932",-0.0011067184,-2.3989179465882714e-05,0.0010827292205341174,0.0026685277937432694,-0.009067986746877098,-0.005316729732599712,0.0020192643682006035,-0.007335994100800315,True,0.3655735457741048,0.0011307075794658827,False
ANIME,"GMT,COMP",2,2025-12-02 09:00:00,long,"0.9401,0.1311",-0.0056913064,-4.8133823655908067e-05,0.0056431725763440915,0.004932942808694385,-0.0049634757409826,0.005612639644055877,0.001864045160586511,0.003748594483469366,True,0.7009552552404893,0.005739440223655908,True
SUPER,"UMA,INIT,RESOLV,PURR",4,2025-12-02 09:00:00,long,"0.7048,0.2405,0.0731,0.1172",-0.0036218124,-4.383959895966261e-05,0.0035779728010403374,0.022888261065389104,-0.004491044256588343,0.021975189609841097,0.0019220729441369446,0.02005311666570415,True,0.3755724069060667,0.0036656519989596626,False
TNSR,DYM,1,2025-12-02 09:00:00,long,0.9240,-0.0015294731,-0.0004502160371034876,0.0010792570628965124,0.01829636661776135,-0.0027836786463443547,0.016591945034313507,0.0017315704633137118,0.014860374570999795,True,0.701463687196795,0.0019796891371034876,True
ANIME,"GMT,COMP,MEGA",3,2025-12-02 10:00:00,long,"0.9350,0.1169,0.0836",-0.0039835658,-0.00010539963408663723,0.0038781661659133626,0.01978831109065826,0.00026115588367639866,0.023927633140248022,0.0019219088270166717,0.02200572431323135,True,0.7024258492695489,0.004088965434086637,True
RESOLV,"GRASS,MAV,SUPER",3,2025-12-02 10:00:00,long,"0.5195,0.2720,0.1337",-0.0013477897,-0.00050707291386823,0.00084071678613177,-0.0018247670657192128,0.0030300185022379246,0.002045968222650482,0.0017327259476203716,0.00031324227503011027,True,0.3259473457942674,0.0018548626138682302,False
SUPER,"UMA,INIT,RESOLV,PURR",4,2025-12-02 10:00:00,long,"0.7062,0.2403,0.0731,0.1238",-0.0036502388,-0.00015178470758455602,0.0034984540924154436,-0.004243054999599649,0.0015836868045682822,0.0008390858973840766,0.001929077361242985,-0.0010899914638589083,True,0.37686783442774807,0.003802023507584556,False
TNSR,DYM,1,2025-12-02 10:00:00,long,0.9237,-0.0032438921,-0.0005723397008888463,0.0026715523991111536,-0.00923807102296803,-0.00010671350823768061,-0.006673232132094558,0.0017313409145745169,-0.008404573046669075,True,0.7014968627304143,0.0038162318008888464,True
ANIME,"GMT,COMP,MEGA",3,2025-12-02 11:00:00,long,"0.9309,0.1184,0.0833",-0.0036478641,-8.920131055258994e-05,0.0035586627894474104,-0.027226233453670368,-0.005287434659709097,-0.028955005323932054,0.0019192619387146768,-0.03087426726264673,True,0.7020573730457749,0.0037370654105525897,True
