coin,entry_hour,direction,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_collected,entry_funding,trading_fee,gross_pnl,net_pnl,valid,fr_magnitude,fr_bucket,entry_hour_of_day
MOVE,2025-12-15 10:00:00,long,8,0.04025,0.038353,2025-12-15 18:00:00,-0.04713043478260877,0.0129029184,-0.0024659041,0.0009,-0.03422751638260877,-0.03512751638260877,True,0.0024659041,0.20-0.30%,10
MOVE,2025-12-15 11:00:00,long,8,0.040481,0.03832,2025-12-15 19:00:00,-0.053383068600084065,0.0110154309,-0.0023693585,0.0009,-0.04236763770008407,-0.043267637700084065,True,0.0023693585,0.20-0.30%,11
MOVE,2025-12-15 12:00:00,long,8,0.040563,0.03808,2025-12-15 20:00:00,-0.06121342109804499,0.0092173276,-0.0020022862,0.0009,-0.051996093498044994,-0.05289609349804499,True,0.0020022862,0.20-0.30%,12
MOVE,2025-12-15 13:00:00,long,8,0.040234,0.038479,2025-12-15 21:00:00,-0.04361982402942784,0.0076322842000000005,-0.0015818604,0.0009,-0.03598753982942784,-0.036887539829427836,True,0.0015818604,0.10-0.20%,13
MOVE,2025-12-15 14:00:00,long,8,0.039714,0.038776,2025-12-15 22:00:00,-0.023618874955934968,0.006359531900000001,-0.001644459,0.0009,-0.01725934305593497,-0.01815934305593497,True,0.001644459,0.10-0.20%,14
MOVE,2025-12-15 15:00:00,long,8,0.039546,0.038954,2025-12-15 23:00:00,-0.014969908461032603,0.005088852800000001,-0.0015025855,0.0009,-0.009881055661032603,-0.010781055661032603,True,0.0015025855,0.10-0.20%,15
ACE,2025-12-15 23:00:00,long,8,0.2775,0.2711,2025-12-16 07:00:00,-0.023063063063063122,0.0205559878,-0.0086440947,0.0009,-0.002507075263063121,-0.0034070752630631206,True,0.0086440947,0.50-1.0%,23
ACE,2025-12-16 00:00:00,long,8,0.2851,0.2512,2025-12-16 08:00:00,-0.11890564714135404,0.0130519156,-0.0028691334,0.0009,-0.10585373154135404,-0.10675373154135404,True,0.0028691334,0.20-0.30%,0
ACE,2025-12-16 01:00:00,long,8,0.2708,0.2598,2025-12-16 09:00:00,-0.040620384047267394,0.011749347700000001,-0.0019155674,0.0009,-0.02887103634726739,-0.029771036347267393,True,0.0019155674,0.10-0.20%,1
MOVE,2025-12-16 01:00:00,long,8,0.036698,0.0365,2025-12-16 09:00:00,-0.005395389394517514,0.0045379001,-0.0010380355,0.0009,-0.000857489294517514,-0.001757489294517514,True,0.0010380355,0.10-0.20%,1
ACE,2025-12-16 02:00:00,long,8,0.2701,0.2713,2025-12-16 10:00:00,0.00444279896334683,0.0106233288,-0.0016796377,0.0009,0.015066127763346829,0.014166127763346829,True,0.0016796377,0.10-0.20%,2
ACE,2025-12-16 03:00:00,long,8,0.2715,0.2639,2025-12-16 11:00:00,-0.02799263351749538,0.010173055299999999,-0.0011661209,0.0009,-0.01781957821749538,-0.01871957821749538,True,0.0011661209,0.10-0.20%,3
ACE,2025-12-16 04:00:00,long,8,0.2778,0.2668,2025-12-16 12:00:00,-0.03959683225341976,0.010794090999999999,-0.0015243277,0.0009,-0.028802741253419764,-0.029702741253419766,True,0.0015243277,0.10-0.20%,4
ACE,2025-12-16 05:00:00,long,8,0.2758,0.2597,2025-12-16 13:00:00,-0.05837563451776651,0.010999538900000001,-0.001429028,0.0009,-0.04737609561776651,-0.04827609561776651,True,0.001429028,0.10-0.20%,5
ACE,2025-12-16 06:00:00,long,8,0.2708,0.2595,2025-12-16 14:00:00,-0.041728212703101834,0.011317357399999999,-0.001328078,0.0009,-0.030410855303101836,-0.031310855303101834,True,0.001328078,0.10-0.20%,6
ACE,2025-12-16 07:00:00,long,8,0.2711,0.2592,2025-12-16 15:00:00,-0.04389524160826271,0.0113094497,-0.0011400225,0.0009,-0.03258579190826271,-0.03348579190826271,True,0.0011400225,0.10-0.20%,7
ACE,2025-12-16 08:00:00,long,8,0.2512,0.2603,2025-12-16 16:00:00,0.03622611464968152,0.0111794268,-0.0015665655,0.0009,0.047405541449681524,0.046505541449681526,True,0.0015665655,0.10-0.20%,8
