entry_threshold,exit_threshold,min_consecutive,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,total_dollar_pnl,final_capital,total_return,avg_hold,avg_positions,max_positions,avg_exposure
0.001,0.0003,3,Entry>0.10%_Exit<0.030%_Cons>=3,111,0.006660820291440497,0.09751714994043671,0.06830409108048086,0.6036036036036037,0.7393510523498952,7363.481091677468,107363.48109167749,0.07363481091677487,18.225225225225227,0.5725490196078431,8,0.05738834527515984
0.001,0.0003,4,Entry>0.10%_Exit<0.030%_Cons>=4,109,0.006054157813447174,0.09876669975312734,0.06129756110693044,0.5963302752293578,0.659903201665742,6496.541278972825,106496.54127897283,0.06496541278972828,18.321100917431192,0.5607843137254902,7,0.05620638750047409
0.002,5e-05,1,Entry>0.20%_Exit<0.005%_Cons>=1,53,0.024560228565246565,0.10618460011696242,0.23129746251521835,0.5660377358490566,1.301692113958068,13437.031904788222,113437.03190478824,0.13437031904788238,42.18867924528302,0.5176470588235295,9,0.05159526845420423
0.002,5e-05,2,Entry>0.20%_Exit<0.005%_Cons>=2,49,0.028626825871813876,0.10655223865629408,0.2686647059960469,0.5714285714285714,1.4027144677188799,14638.944513009963,114638.94451300995,0.1463894451300995,43.53061224489796,0.4823529411764706,9,0.04810442025627011
0.002,5e-05,3,Entry>0.20%_Exit<0.005%_Cons>=3,44,0.0366320081670457,0.1070449825092109,0.3422113517921648,0.6136363636363636,1.6118083593500105,17070.584257194678,117070.58425719464,0.1707058425719464,47.52272727272727,0.4666666666666667,9,0.046526929917328506
0.002,5e-05,4,Entry>0.20%_Exit<0.005%_Cons>=4,43,0.030907344158622847,0.10314693373340306,0.29964384824571694,0.6046511627906976,1.3290157988207825,13885.578252465992,113885.578252466,0.13885578252466002,48.02325581395349,0.45098039215686275,9,0.04496975849893541
0.002,0.0001,1,Entry>0.20%_Exit<0.010%_Cons>=1,54,0.026154785316923095,0.09710304286533906,0.2693508312936612,0.5925925925925926,1.412358407113847,14770.396233110798,114770.3962331108,0.14770396233110805,35.166666666666664,0.4549019607843137,8,0.045318082001856295
0.002,0.0001,2,Entry>0.20%_Exit<0.010%_Cons>=2,50,0.02558164614788242,0.10071459636255384,0.2540013768788116,0.58,1.279082307394121,13313.036238449888,113313.03623844987,0.13313036238449874,37.22,0.4392156862745098,8,0.04378253445681419
0.002,0.0001,3,Entry>0.20%_Exit<0.010%_Cons>=3,45,0.03179301799123986,0.10107847878776705,0.31453795479050667,0.6222222222222222,1.4306858096057937,15059.620909955926,115059.62090995592,0.1505962090995592,40.44444444444444,0.4235294117647059,8,0.04220592023546067
0.002,0.0001,4,Entry>0.20%_Exit<0.010%_Cons>=4,44,0.026861489860498,0.099027372192223,0.2712531824873319,0.6136363636363636,1.181905553861912,12299.30400089895,112299.30400089893,0.12299304000898933,40.81818181818182,0.40784313725490196,8,0.040665974470648965
0.002,0.0002,1,Entry>0.20%_Exit<0.020%_Cons>=1,55,0.01610125275604226,0.09895600924106947,0.1627112176362888,0.5818181818181818,0.8855689015823243,8969.719188167775,108969.71918816779,0.08969719188167787,28.636363636363637,0.40784313725490196,7,0.04068608264121048
0.002,0.0002,2,Entry>0.20%_Exit<0.020%_Cons>=2,51,0.015191444702584602,0.10512596909156166,0.14450705980511147,0.5882352941176471,0.7747636798318147,7781.662541801343,107781.66254180134,0.07781662541801343,30.372549019607842,0.39215686274509803,7,0.03911138122389053
0.002,0.0002,3,Entry>0.20%_Exit<0.020%_Cons>=3,46,0.021951923720327504,0.10465885923410935,0.20974740104154657,0.6304347826086957,1.0097884911350652,10370.34310155222,110370.34310155224,0.10370343101552236,32.80434782608695,0.37254901960784315,7,0.037144034441444075
0.002,0.0002,4,Entry>0.20%_Exit<0.020%_Cons>=4,45,0.01697607514403336,0.10465017972341532,0.16221735298401008,0.6222222222222222,0.7639233814815011,7733.402125399717,107733.40212539969,0.07733402125399691,32.977777777777774,0.3568627450980392,7,0.03558055525622567
0.002,0.0003,1,Entry>0.20%_Exit<0.030%_Cons>=1,57,0.023989641896972738,0.0911463173622974,0.2631992448100381,0.631578947368421,1.3674095881274462,14336.895323129338,114336.89532312933,0.14336895323129328,23.771929824561404,0.37254901960784315,7,0.03711084650639473
